Time,Open,High,Low,Latest,Change,%Change,Volume
2024-06-21,4.78,4.798,4.63,4.65,-0.15,-3.13%,4420500
2024-06-20,4.89,4.89,4.765,4.8,-0.08,-1.64%,1320400
2024-06-18,4.94,5.075,4.88,4.88,-0.07,-1.41%,1689000
2024-06-17,4.83,4.99,4.77,4.95,0.09,+1.85%,1057800
2024-06-14,4.91,4.97,4.835,4.86,-0.12,-2.41%,909600
2024-06-13,5.12,5.14,4.93,4.98,-0.17,-3.30%,1491100
2024-06-12,5.41,5.44,5.12,5.15,0.02,+0.39%,1300800
2024-06-11,5.16,5.185,5.06,5.13,-0.07,-1.35%,1104400
2024-06-10,5.14,5.2,5.08,5.2,-0.04,-0.76%,1404200
2024-06-07,5.19,5.3398,5.19,5.24,-0.06,-1.13%,1586200
2024-06-06,5.34,5.405,5.24,5.3,-0.07,-1.30%,1300600
2024-06-05,5.41,5.445,5.3,5.37,0.03,+0.56%,1031700
2024-06-04,5.4,5.5,5.27,5.34,-0.09,-1.66%,1214200
2024-06-03,5.5,5.5,5.295,5.43,0.01,+0.18%,1202300
2024-05-31,5.36,5.47,5.335,5.42,0.08,+1.50%,1210800
2024-05-30,5.2,5.39,5.17,5.34,0.2,+3.89%,1435800
2024-05-29,5.04,5.2,4.92,5.14,0.1,+1.98%,1474100
2024-05-28,5.25,5.28,4.945,5.04,-0.21,-4.00%,2139600
2024-05-24,5.01,5.255,4.985,5.25,0.26,+5.21%,1155900
2024-05-23,5.1,5.158,4.96,4.99,-0.08,-1.58%,1148500
2024-05-22,5.39,5.48,5.025,5.07,-0.18,-3.43%,1868200
2024-05-21,5.23,5.26,5.13,5.25,-0.03,-0.57%,1567000
2024-05-20,5.3,5.37,5.235,5.28,0.01,+0.19%,1248800
2024-05-17,5.31,5.35,5.21,5.27,-0.05,-0.94%,823600
2024-05-16,5.45,5.45,5.31,5.32,-0.14,-2.56%,945400
2024-05-15,5.77,5.78,5.38,5.46,-0.26,-4.55%,2733900
2024-05-14,5.3,5.78,5.27,5.72,0.49,+9.37%,2839900
2024-05-13,5.07,5.27,5.06,5.23,0.17,+3.36%,1418800
2024-05-10,5.05,5.07,4.98,5.06,-0.02,-0.39%,989000
2024-05-09,5.18,5.19,5.035,5.08,-0.12,-2.31%,1311600
2024-05-08,5.18,5.245,5.1204,5.2,-0.03,-0.57%,1770900
2024-05-07,5.3,5.45,5.22,5.23,-0.06,-1.13%,1413600
2024-05-06,5.3,5.315,5.185,5.29,0.02,+0.38%,1415300
2024-05-03,5.31,5.51,5.17,5.27,0.02,+0.38%,3468000
2024-05-02,4.5,5.32,4.45,5.25,1.04,+24.70%,5903500
2024-05-01,4.29,4.35,4.135,4.21,-0.05,-1.17%,1306500
2024-04-30,4.13,4.355,4.0909,4.26,0.11,+2.65%,1810400
2024-04-29,4.12,4.215,4.12,4.15,0.02,+0.48%,912700
2024-04-26,4.25,4.25,4.12,4.13,-0.09,-2.13%,699500
2024-04-25,4.19,4.23,4.065,4.22,-0.02,-0.47%,1273800
2024-04-24,4.19,4.26,4.14,4.24,0.04,+0.95%,1352800
2024-04-23,4.19,4.26,4.13,4.2,0,0.00%,1279000
2024-04-22,4.04,4.245,4.04,4.2,0.21,+5.26%,1181400
2024-04-19,4.01,4.1,3.98,3.99,-0.04,-0.99%,1016200
2024-04-18,3.95,4.13,3.94,4.03,0.1,+2.54%,1384900
2024-04-17,4.05,4.11,3.92,3.93,-0.06,-1.50%,811400
2024-04-16,4.02,4.075,3.955,3.99,-0.08,-1.97%,860400
2024-04-15,4.07,4.16,3.985,4.07,0,0.00%,1516800
2024-04-12,4.05,4.1,3.97,4.07,-0.04,-0.97%,1372200
2024-04-11,4.14,4.17,4.005,4.11,-0.01,-0.24%,1097700
2024-04-10,4.19,4.26,4,4.12,-0.2,-4.63%,1796600
2024-04-09,4.05,4.33,3.95,4.32,0.4,+10.20%,2908500
"Downloaded from Barchart.com as of 05-05-2026 08:09am CDT"
