ticker,underlying_conid,fetched_at,market_data_mode,exchange,trading_class,multiplier,expiry_date,strike,option_type,currency,source,warnings,missing_fields
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,6.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,7.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,7.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,8.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,8.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,9.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,9.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,10.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,10.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,11.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,11.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,12.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,12.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,13.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,13.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,14.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,14.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,15.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,15.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,16.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,16.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,17.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,17.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,18.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,18.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,19.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,19.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,20.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-06-18,20.0,put,USD,ibkr,[],[]
